State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Rate_100000,Rate_Level,Area_Name,POP_ESTIMATE
IA,Adair,14,3.2,3.6,16,32,8.7,27,72,20,5,43,57,0,1682,54,96,61,2.4,31,9.9,103,8.7,0,8,79,33,12,1,54282,344.3666667,2,Adair,7152
IA,Adams,12,3.1,3.4,16,30,8.7,25,54,20,6,27,82,27,2062,45,98,70,1.9,14,10.9,66,8.7,0,7,77,22,14,1,51577,424.35,4,Adams,3602
IA,Allamakee,15,3.2,3.6,16,35,8.5,23,72,19,8,58,29,22,2671,41,91,64,3.1,17,15.1,39,8.9,0,10,77,30,11,2,53359,295.45,2,Allamakee,13687
IA,Appanoose,16,3.5,3.8,17,37,7.8,41,69,18,6,89,24,113,4379,36,91,71,3.3,27,9.7,219,9.2,0,13,82,22,15,5,44298,407.5833333,3,Appanoose,12426
IA,Audubon,13,3.2,3.5,16,30,8.4,29,65,19,7,72,36,0,1846,35,97,67,2.4,28,19.7,70,8.7,0,6,82,22,9,3,51210,327.3166667,2,Audubon,5496
IA,Benton,12,3.0,3.5,15,36,8.7,25,50,22,5,16,23,19,4164,32,92,70,2.7,25,14.4,0,9.9,1,8,83,40,12,3,62799,315.9714286,2,Benton,25645
IA,Black Hawk,14,3.4,3.4,18,31,7.1,24,83,24,5,95,71,165,3413,57,89,71,2.8,34,12.1,511,9.4,0,15,82,9,11,11,52320,339.8777778,2,Black Hawk,131228
IA,Boone,14,3.2,3.7,16,36,8.5,25,86,21,4,49,46,72,4128,59,94,68,2.1,30,14.0,277,9.1,0,12,83,28,9,4,63099,320.1333333,2,Boone,26234
IA,Bremer,12,2.9,3.4,14,33,8.9,22,82,22,4,52,60,136,3487,48,94,79,2.0,19,18.1,378,9.3,0,9,80,25,8,2,74646,319.31428569999997,2,Bremer,25062
IA,Buchanan,12,2.9,3.5,16,33,8.5,31,75,21,5,28,38,104,3472,50,94,72,2.6,25,10.8,48,9.7,0,10,80,35,9,5,59724,324.0,2,Buchanan,21175
IA,Buena Vista,16,3.2,3.3,15,34,8.7,24,74,19,11,45,60,40,2518,54,76,50,2.1,32,22.4,311,8.7,0,15,73,13,9,4,52683,267.8571429,1,Buena Vista,19620
IA,Butler,12,2.8,3.4,15,33,7.6,28,64,21,5,14,28,62,4170,45,99,70,2.7,20,20.5,10,9.1,1,8,81,35,11,13,57971,366.25,3,Butler,14439
IA,Calhoun,15,3.2,3.6,17,36,8.4,31,74,20,6,72,62,21,3731,42,93,67,2.5,27,24.6,46,8.8,0,11,84,29,11,1,54865,373.3166667,3,Calhoun,9668
IA,Carroll,12,2.9,3.3,15,34,8.7,26,76,21,4,94,60,89,4065,60,95,75,1.9,25,19.7,63,8.9,0,9,83,12,10,1,60531,287.3333333,2,Carroll,20165
IA,Cass,15,3.4,3.7,17,34,7.6,22,77,18,7,53,93,363,2374,33,88,60,2.7,31,19.8,238,8.7,0,10,79,18,10,8,50356,423.36666669999994,4,Cass,12836
IA,Cedar,11,2.8,3.2,14,35,8.6,28,72,22,4,27,54,48,3405,44,87,72,2.4,18,12.9,95,10.4,0,8,82,42,5,5,67597,289.85,2,Cedar,18627
IA,Cerro Gordo,14,3.2,3.7,16,30,8.2,21,92,22,5,153,80,274,4264,58,92,70,2.6,35,19.3,133,8.6,0,10,82,12,11,4,51939,328.8333333,2,Cerro Gordo,42450
IA,Cherokee,14,3.3,3.6,17,35,8.6,27,77,19,6,62,35,124,4857,48,96,76,2.2,42,13.3,175,8.6,0,6,84,17,14,2,56312,286.2666667,1,Cherokee,11235
