State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Household_Income_(AIAN),Household_Income_(Asian),Household_Income_(Black),Household_Income_(Hispanic),Household_Income_(White),Population,Population_Black,Population_AIAN,Population_Asian,Population_NHPI,Population_Hispanic,Population_NHW,%_Insufficient_Sleep,Average_Traffic_Volume_per_Meter_of_Major_Roadways,%_Homeowners,%_Severe_Housing_Cost_Burden,%_Children_in_Poverty,Teen_Birth_Rate
Iowa,Cherokee,14,3.3,3.6,17,35,8.6,27,77,19,6,62,35,124,4857,48,96,76,2.2,42,13.3,175,8.6,0,6,84,17,14,2,56312,,,,,,11321,120,49,67,27,448,10528,25,312,74,,,
Iowa,Chickasaw,14,3.1,3.5,16,30,8.4,23,68,21,6,58,42,42,3279,56,95,68,2.7,15,20.8,173,8.8,0,8,80,23,9,5,64190,,,,44716,55854,11964,74,18,42,2,331,11418,27,365,80,,,
Iowa,Clarke,16,3.3,3.6,17,37,8.5,28,67,20,6,32,42,32,3781,53,93,52,2.8,18,7.5,140,8.9,1,13,79,33,12,2,52541,,,,50673,52445,9423,104,99,77,18,1344,7742,28,667,71,,,
Iowa,Clay,13,3.2,3.5,16,35,8.2,21,76,21,6,80,93,378,3254,57,95,68,3.2,30,16.1,149,8.2,0,10,78,15,12,3,56338,,,,41818,48450,16134,133,50,135,1,614,15033,29,785,69,,,
Iowa,Clayton,13,3.1,3.6,15,36,8.5,24,74,20,6,34,46,11,3654,53,91,60,3.2,28,21,60,9.4,0,11,79,26,7,1,53968,,,,,,17556,148,35,46,16,358,16816,26,253,75,,,
Iowa,Clinton,14,3.2,3.9,17,33,7.9,28,80,20,5,51,62,131,5334,57,87,63,3.2,38,16.6,484,10.4,0,11,82,24,12,6,51317,,,17679,35493,52118,46518,1337,185,303,23,1454,42459,32,594,74,,,
Iowa,Crawford,18,3.5,3.6,17,33,8,27,74,18,10,23,41,64,4699,43,88,47,3.4,30,10.6,59,8.8,0,11,81,17,12,9,54828,,103618,,53507,53615,17158,598,221,402,44,4889,11148,29,512,73,,,
Iowa,Dallas,11,2.7,3,13,29,9.2,21,85,23,4,46,24,33,3413,58,98,85,1.7,15,8.8,192,9.2,0,10,86,23,8,1,87267,66140,105589,70046,52475,85742,90180,2043,310,4532,68,5544,76651,26,1562,74,,,
Iowa,Davis,14,3.3,3.7,17,26,8.1,23,49,19,11,45,33,11,3989,47,96,61,2.7,14,8.9,114,9.4,0,12,71,30,13,6,54830,,,,,,9017,18,28,29,0,152,8703,27,185,83,,,
Iowa,Decatur,16,3.7,4,18,40,7.8,29,70,19,7,25,76,279,2697,39,96,55,2.2,25,7.5,0,9,0,16,68,30,18,4,41101,8558,,,15250,43497,7890,148,37,62,20,251,7292,29,319,66,,,
Iowa,Delaware,13,3.1,3.5,16,33,8.7,27,63,22,6,58,53,100,2626,35,97,61,2.1,20,12.8,147,9.5,1,13,82,27,9,3,61342,,11000,,,62056,17069,151,27,62,2,267,16440,28,341,83,,,
Iowa,Des Moines,15,3.6,4,19,37,7.4,27,76,19,5,68,69,202,5588,58,84,68,3.3,42,18,518,10.7,0,13,83,12,13,9,51805,,86136,20978,35364,52310,39138,2311,137,402,21,1204,34101,30,673,72,,,
Iowa,Dickinson,12,3,3.4,15,28,8.5,22,91,20,5,76,76,52,2987,62,93,78,3.2,28,18,131,8,0,10,82,15,12,4,55603,,,,,,17153,78,38,143,7,351,16403,25,868,79,,,
Iowa,Dubuque,12,2.9,3.6,16,34,8.1,26,85,24,4,79,75,161,9443,56,91,74,2.4,29,11.1,210,10.1,0,12,83,10,7,5,60367,,64028,17279,38690,63158,96854,3293,289,1315,430,2438,87794,28,1263,72,,,
Iowa,Emmet,16,3.4,3.7,18,40,7.9,26,82,19,7,64,54,227,3225,54,94,71,2.7,33,21.2,393,8,0,10,75,20,7,9,51497,,,,42604,50530,9253,110,146,65,7,904,8043,27,565,77,,,
Iowa,Fayette,14,3.2,3.5,16,34,8.4,33,78,21,5,35,41,36,3076,37,91,67,3,33,20.2,279,9.4,1,12,76,23,13,2,50893,,,,58750,50302,19660,269,54,233,10,487,18383,28,360,75,,,
Iowa,Floyd,14,3.4,3.8,16,41,8,29,77,19,6,38,44,13,5088,53,96,64,2.7,27,15.9,175,8.6,0,10,77,23,9,5,53811,,,15708,,49625,15761,422,53,234,17,579,14303,28,318,72,,,
Iowa,Franklin,16,3.4,3.7,17,45,8.3,30,73,19,8,30,40,10,2464,43,92,54,2.1,33,23.6,0,8.8,0,11,79,19,16,5,59367,,,,43480,57658,10124,67,65,59,12,1308,8554,28,443,74,,,
Iowa,Fremont,13,3.2,3.6,16,33,6.8,27,45,19,5,14,14,29,4753,32,95,71,1.9,25,7.2,397,9.1,0,10,83,31,10,22,54658,48750,,,51522,54298,6993,49,27,31,3,214,6599,27,185,74,,,
Iowa,Greene,14,3.2,3.6,15,41,8.4,34,69,20,5,45,33,67,3295,63,84,67,2.3,28,25.6,77,8.8,0,12,79,26,19,4,51861,,,,72614,54350,8981,40,47,44,5,288,8459,28,273,74,,,
Iowa,Grundy,11,2.8,3.3,14,31,8.9,24,72,21,4,24,24,41,2003,40,98,77,2.5,17,21.9,97,9.3,0,7,83,30,9,2,65060,,,,41875,67048,12304,57,16,43,7,164,11920,25,446,80,,,
Iowa,Guthrie,13,3.2,3.5,15,34,8.5,37,74,21,6,37,37,19,3808,55,98,71,2.6,30,20.6,33,8.8,0,13,79,42,8,4,60306,,,,46917,57260,10720,60,40,43,8,320,10133,27,243,79,,,
Iowa,Hamilton,12,3,3.5,15,33,8.3,25,85,20,6,33,40,33,5009,53,96,70,2.7,16,14.6,211,9.1,0,12,83,23,12,6,56738,,,23889,41156,57747,14952,172,76,354,1,936,13229,28,218,73,,,
Iowa,Hancock,13,3.1,3.4,14,34,8.5,23,76,21,5,28,56,9,3372,57,97,70,2.3,21,26.9,117,8.4,0,9,79,24,6,5,60859,,44000,,48750,61758,10712,90,31,62,9,494,9944,27,119,78,,,
Iowa,Hardin,14,3.1,3.5,15,42,8.5,24,85,19,5,47,77,53,2669,59,93,67,2.8,26,24.6,106,9.2,0,7,83,22,13,4,55303,,,,54712,53955,16868,250,71,168,7,753,15472,28,278,77,,,
Iowa,Harrison,14,3.2,3.5,16,40,8.3,25,51,20,5,35,50,28,1921,39,97,72,2.2,30,15.6,32,8.9,0,10,82,44,15,5,60044,,,,53194,60488,14134,57,50,50,0,256,13565,30,248,75,,,
Iowa,Henry,14,3.2,3.5,17,35,7.7,29,80,20,6,76,60,115,3530,53,91,62,2.5,36,12.6,225,10.3,0,11,84,21,7,10,55856,,,56129,60653,52276,20067,531,77,523,31,996,17642,31,79,71,,,
Iowa,Howard,13,3.2,3.6,16,32,7.7,25,81,20,6,54,22,22,2899,42,96,68,2.5,27,15.2,63,8.3,0,12,76,22,8,12,53500,,,,26875,54126,9187,52,19,31,6,148,8860,27,172,79,,,
Iowa,Humboldt,14,3.3,3.6,16,30,8.2,22,72,20,5,21,42,21,2609,38,93,67,2.5,31,13.6,57,8.6,0,9,85,19,7,5,60166,,142031,,29662,53193,9547,57,33,49,2,464,8859,28,364,74,,,
Iowa,Ida,13,3.1,3.5,16,30,8.8,30,78,20,5,29,44,15,6052,41,98,77,2,18,21.8,162,8.6,0,5,78,21,8,0,60312,,,,40313,56964,6841,29,24,42,4,168,6513,26,200,76,,,
